"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 31, 2016","822.80","821.47","824.57","820.71","63.81M","0.41%"
"Oct 28, 2016","819.48","824.98","825.07","815.80","64.67M","-1.85%"
"Oct 27, 2016","834.93","843.60","844.59","834.26","55.70M","-0.78%"
"Oct 26, 2016","841.52","842.44","845.55","840.02","50.54M","-0.39%"
"Oct 25, 2016","844.84","850.74","850.74","844.07","48.49M","-0.92%"
"Oct 24, 2016","852.72","846.96","853.07","846.96","45.78M","1.09%"
"Oct 21, 2016","843.56","838.08","844.19","836.91","53.56M","0.36%"
"Oct 20, 2016","840.53","840.08","842.81","837.94","62.64M","0.04%"
"Oct 19, 2016","840.16","840.66","841.11","836.17","60.78M","0.08%"
"Oct 18, 2016","839.46","842.40","842.78","837.44","54.08M","0.83%"
"Oct 17, 2016","832.52","840.79","840.88","832.22","56.67M","-1.05%"
"Oct 14, 2016","841.35","846.87","846.92","841.35","58.40M","-0.19%"
"Oct 13, 2016","842.94","840.43","845.08","835.91","53.66M","-0.12%"
"Oct 12, 2016","843.96","840.57","847.20","839.72","58.01M","0.59%"
"Oct 11, 2016","839.04","845.89","846.07","837.20","57.11M","-0.99%"
"Oct 10, 2016","847.47","849.90","851.03","847.23","44.71M","-0.03%"
"Oct 07, 2016","847.75","852.15","853.10","844.97","68.99M","-0.34%"
"Oct 06, 2016","850.68","848.75","851.57","843.59","63.50M","0.12%"
"Oct 05, 2016","849.62","848.23","852.06","847.57","79.43M","0.38%"
"Oct 04, 2016","846.38","850.51","852.34","844.18","54.14M","-0.33%"
"Oct 03, 2016","849.20","850.06","851.76","847.78","57.70M","-0.36%"
"Sep 30, 2016","852.26","846.86","854.57","846.06","73.12M","1.11%"
"Sep 29, 2016","842.87","848.76","851.97","842.03","56.59M","-0.73%"
"Sep 28, 2016","849.06","848.89","850.49","846.23","59.19M","0.06%"
"Sep 27, 2016","848.55","841.85","849.37","841.09","63.36M","1.03%"
"Sep 26, 2016","839.88","845.51","846.07","839.37","53.00M","-1.06%"
"Sep 23, 2016","848.89","849.28","851.34","848.68","51.95M","-0.15%"
"Sep 22, 2016","850.19","847.81","851.50","847.52","55.81M","0.79%"
"Sep 21, 2016","843.56","839.28","844.36","834.30","59.08M","0.71%"
"Sep 20, 2016","837.59","839.75","841.30","836.36","49.82M","0.05%"
"Sep 19, 2016","837.19","840.94","842.23","835.56","54.95M","-0.33%"
"Sep 16, 2016","839.92","839.12","840.55","836.81","127.21M","0.05%"
"Sep 15, 2016","839.46","830.85","840.33","828.46","57.99M","0.88%"
"Sep 14, 2016","832.10","835.76","838.05","830.68","64.92M","-0.32%"
"Sep 13, 2016","834.78","842.14","842.14","832.85","64.21M","-1.40%"
"Sep 12, 2016","846.60","834.08","848.11","833.35","66.28M","1.20%"
"Sep 09, 2016","836.57","852.27","852.27","836.56","72.95M","-2.37%"
"Sep 08, 2016","856.87","858.69","861.06","855.56","71.72M","-0.65%"
"Sep 07, 2016","862.51","864.39","864.39","859.84","66.06M","-0.36%"
